celebrated ^vpsv++agls+xvbnx+=celebrated
without ^in++++=without
attracting ^j++++=attracting
my ^pp$+pp1+++=my
attention ^nn+nom+++=attention;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
second ^od++++=second
part ^nn++++=part
the ^ati++++=the
accusing ^jj+atrb+++=accusing
voice ^nn++++=voice
of ^in++++=of
my ^pp$+pp1+++=my
conscience ^nn+nom+++=conscience
suddenly ^rb++++=suddenly
begins ^vbz++++=begins
to ^to++++=to
speak ^vbi++++=speak.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
brings ^vbz++++=brings
you ^pp2+pp2+++=you
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
it ^pp3+it+++=it
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
