B.c ^rb++++=B.C.
who ^whp+rel+subj++=who
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
depart ^vb++++=depart,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
the ^ati++++=the
Romans ^nn++++=Romans
would ^md+prd+++=would
lay ^jjb+++xvbn+=lay
down ^in++++=down
a ^at++++=a
ransom ^vb++++=ransom,
, ^zz++++=EXTRAWORD
for ^in++++=for
their ^pp$+pp3+++=their
Capital ^nn++++=Capital
and ^cc++++=and
their ^pp$+pp3+++=their
own ^ap++++=own
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
thousand ^cd++++=thousand
pounds ^nns++++=pounds'
' ^zz++++=EXTRAWORD
weight ^nn++++=weight
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
Sulpitius ^np+++??+=Sulpitius
agreed ^vbd+vpub++xvbn+=agreed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returning ^jj+++xvbg+=returning
to ^in++++=to
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gold ^nn++++=gold
was ^vbd+bedz+aux++=was
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
the ^ati++++=the
treasury ^np++++=treasury,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
down ^rp++++=down
to ^to++++=to
meet ^vbi++++=meet
the ^ati++++=the
Gauls ^np+++??+=Gauls,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
brought ^vbd+++xvbn+=brought
their ^pp$+pp3+++=their
own ^ap++++=own
weights ^nns++++=weights.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weights ^nns++++=weights
did ^vbd+dod+aux++=did
not ^xnot++not++=not
meet ^vb++++=meet
the ^ati++++=the
amount ^nn++++=amount
of ^in++++=of
gold ^nn++++=gold
ornaments ^nns+nom+++=ornaments
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
contributed ^vpsv++agls+xvbnx+=contributed
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
doubt ^nn++++=doubt
the ^ati++++=the
Gauls ^np+++??+=Gauls
were ^vbd+bed+aux++=were
resolved ^vpsv++agls+xvbnx+=resolved
to ^to+vcmp+++=to
have ^vbi++vrb++=have
all ^abn++++=all
that ^dt+dem+++=that
they ^pp3a+pp3+++=they
beheld ^vb+++??+=beheld;
; ^zz++++=EXTRAWORD
for ^in++++=for
when ^wrb+who+++=when
Sulpitius ^np+++??+=Sulpitius
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
try ^vb++++=try
to ^to+vcmp+++=to
arrange ^vbi++++=arrange
the ^ati++++=the
balance ^nn+nom+++=balance,
, ^zz++++=EXTRAWORD
Brennus ^np+++??+=Brennus
insultingly ^rb++++=insultingly
threw ^vbd+++xvbn+=threw
his ^pp$+pp3+++=his
sword ^nn++++=sword
into ^in++++=into
his ^pp$+pp3+++=his
own ^ap++++=own
scale ^nn++++=scale,
, ^zz++++=EXTRAWORD
exclaiming ^jj+++xvbg+=exclaiming,
, ^zz++++=EXTRAWORD
Voe ^np+++??+=Voe
victis ^nns+++??+=victis!
! ^zz++++=EXTRAWORD
' ^zz++++='Woe
woe ^np++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
conquered ^jj+++xvbn+=conquered!'
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
The ^ati++++=The
Roman ^nn++++=Roman
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
yet ^rb++++=yet
fallen ^vprf+++xvbn+=fallen
so ^rb+emph+++=so
low ^jj++++=low
as ^ql++++=as
not ^xnot++not++=not
to ^to++++=to
remonstrate ^nn+nom+++=remonstrate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
dispute ^nn++++=dispute
was ^vbd+bedz+aux++=was
waxing ^vbg+++xvbgx+=waxing
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
confused ^jj+atrb++xvbn+=confused
outcry ^nn++++=outcry
in ^in++++=in
the ^ati++++=the
Gallic ^np+++??+=Gallic
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
a ^at++++=a
shout ^nn++++=shout
from ^in++++=from
the ^ati++++=the
heights ^nns++++=heights
of ^in++++=of
the ^ati++++=the
Capitol ^np++++=Capitol,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
into ^in++++=into
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
open ^jj+atrb+++=open
space ^nn++++=space
rode ^vbd+++xvbn+=rode
a ^at++++=a
band ^nn++++=band
of ^in++++=of
Roman ^jj+atrb+++=Roman
patricians ^nns++++=patricians
and ^cc++++=and
knights ^nns++++=knights
in ^in++++=in
armor ^nn++++=armor,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
Dictator ^nn++++=Dictator
Camillus ^np+++??+=Camillus
at ^in++++=at
their ^pp$+pp3+++=their
head ^nn++++=head.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
no ^at++++=no
sooner ^rbr++++=sooner
saw ^vbd+vprv++xvbn+=saw
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
passing ^vbg+++xvbgx+=passing,
, ^zz++++=EXTRAWORD
than ^in++++=than
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded
the ^ati++++=the
treasure ^nn++++=treasure
to ^to++++=to
be ^vbi+vbi+aux++=be
taken ^vpsv++agls+xvbnx+=taken
back ^rb+cnj+++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
to ^in++++=to
Brennus ^np+++??+=Brennus,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
with ^in++++=with
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
Romans ^nn++++=Romans
guard ^nn++++=guard
their ^pp$+pp3+++=their
country ^nn++++=country.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Brennus ^np+++??+=Brennus
declared ^vbd+vpub++xvbn+=declared
that ^tht+vcmp+++=that
the ^ati++++=the
treaty ^nn++++=treaty
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sworn ^vprf+++xvbn+=sworn
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^at++++=a
breach ^nn++++=breach
of ^in++++=of
faith ^nn++++=faith
to ^to++++=to
deprive ^vbi++++=deprive
him ^pp3o+pp3+++=him
of ^in++++=of
the ^ati++++=the
ransom ^vb++++=ransom;
; ^zz++++=EXTRAWORD
to ^to++++=to
which ^whp+who+++=which
Camillus ^np+++??+=Camillus
replied ^vbd+vpub++xvbn+=replied,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
was ^vbd+bedz+vrb++=was
Dictator ^nn++++=Dictator,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
one ^cd1++++=one
had ^vb+hv+vrb++=had
the ^ati++++=the
power ^nn++++=power
to ^to+ncmp+++=to
make ^vbi++++=make
a ^at++++=a
treaty ^nn++++=treaty
in ^in++++=in
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dispute ^nn++++=dispute
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
hot ^jj++++=hot,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
drew ^vbd+++xvbnx+=drew
their ^pp$+pp3+++=their
swords ^nns++++=swords
against ^in++++=against
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
skirmish ^nn++++=skirmish
among ^in++++=among
the ^ati++++=the
ruins ^nns++++=ruins;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Gauls ^np+++??+=Gauls
soon ^rb+tm+++=soon
fell ^vbd+++xvbn+=fell
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
retreated ^vpsv++agls+xvbn+=retreated
to ^in++++=to
their ^pp$+pp3+++=their
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
main ^jjb+atrb+++=main
body ^nn++++=body
of ^in++++=of
Camillus ^np+++??+=Camillus'
' ^zz++++=EXTRAWORD
army ^nn++++=army
marching ^vwbg+++xvbg+=marching
upon ^in++++=upon
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
no ^at++++=no
less ^rbr++++=less
than ^in++++=than
40,000 ^cd++++=40,000
in ^in++++=in
number ^nn++++=number;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Brennus ^np+++??+=Brennus
knew ^vbd+vprv+tht0+xvbn+=knew
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
withstand ^vb++++=withstand
them ^pp3o+pp3+++=them
with ^in++++=with
his ^pp$+pp3+++=his
broken ^vbd+++xvbn+=broken,
, ^zz++++=EXTRAWORD
sickly ^jj+atrb+++=sickly
army ^nn++++=army.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
drew ^vbd+++xvbnx+=drew
off ^in+pl+++=off
early ^jj++++=early
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning:
: ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+aux++=was
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
Camillus ^np+++??+=Camillus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
routed ^vbd+++xvbn+=routed,
, ^zz++++=EXTRAWORD
with ^in++++=with
great ^jj+atrb+++=great
slaughter ^nn+nom+++=slaughter,
, ^zz++++=EXTRAWORD
about ^in++++=about
eight ^cd++++=eight
miles ^nns++++=miles
from ^in++++=from
Rome ^np++++=Rome;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
few ^ap++++=few
of ^in++++=of
the ^ati++++=the
Gauls ^np+++??+=Gauls
lived ^vbd+++xvbn+=lived
to ^to++++=to
return ^vbi++++=return
home ^nr++++=home,
, ^zz++++=EXTRAWORD
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
slain ^nn+++??+=slain
in ^in++++=in
battle ^nn++++=battle
were ^vbd+bed+aux++=were
cut ^vpsv++agls+xvbnx+=cut
off ^rb+phrv+++=off
in ^in++++=in
their ^pp$+pp3+++=their
flight ^nn++++=flight
by ^in++++=by
the ^ati++++=the
country ^nn++++=country
people ^nns++++=people,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
plundered ^vprf+++xvbn+=plundered.
. ^zz++++=EXTRAWORD
In ^in++++=In
reward ^nn++++=reward
for ^in++++=for
their ^pp$+pp3+++=their
conduct ^vb++++=conduct
on ^in++++=on
this ^dt+dem+++=this
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
Camillus ^np+++??+=Camillus
was ^vbd+bedz+aux++=was
termed ^vpsv++agls+xvbnx+=termed
Romulus ^np+++??+=Romulus,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father
of ^in++++=of
his ^pp$+pp3+++=his
Country ^nn++++=Country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Second ^od++++=Second
Founder ^nn++++=Founder
of ^in++++=of
Rome ^np++++=Rome;
; ^zz++++=EXTRAWORD
Marcus ^np++++=Marcus
Manlius ^np+++??+=Manlius
received ^vbd+++xvbn+=received
the ^ati++++=the
honorable ^jj+atrb+++=honorable
surname ^nn++++=surname
of ^in++++=of
Capitolinus ^np+++??+=Capitolinus;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
the ^ati++++=the
geese ^nns++++=geese
were ^vbd+bed+aux++=were
honored ^vpsv++by+xvbnx+=honored
by ^in++++=by
having ^xvbg+++xvbg+=having
a ^at++++=a
golden ^jj+atrb+++=golden
image ^nn++++=image
raised ^vbd+++xvbn+=raised
to ^to+vcmp+++=to
their ^pp$+pp3+++=their
honor ^nn++++=honor
in ^in++++=in
Juno ^np++++=Juno's
's ^$++++=EXTRAWORD
temple ^np++++=temple,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
live ^vb++++=live
goose ^nn++++=goose
was ^vbd+bedz+vrb++=was
yearly ^jj++++=yearly
carried ^jj+++xvbn+=carried
in ^in++++=in
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
soft ^jj+atrb+++=soft
litter ^nn++++=litter,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
golden ^jj+atrb+++=golden
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
any ^dti++++=any
heathen ^jj+atrb+++=heathen
festivals ^nns+nom+++=festivals
lasted ^vbd+++xvbn+=lasted.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reward ^nn++++=reward
of ^in++++=of
Pontius ^np++++=Pontius
Cominius ^np+++??+=Cominius
does ^vbz+doz+aux++=does
not ^xnot++not++=not
appear ^vb+seem+++=appear;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
surely ^rb++++=surely
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
old ^jj+atrb+++=old
senators ^nns++++=senators
who ^whp+rel+subj++=who
died ^vbd+++xvbn+=died
for ^in++++=for
their ^pp$+pp3+++=their
country ^nn++++=country's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
deserved ^vb+++xvbn+=deserved
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
for ^rb++splt++=for
ever ^rb"++++=ever
remembered ^vbd+vprv++xvbn+=remembered
for ^in++++=for
their ^pp$+pp3+++=their
brave ^jj+atrb+++=brave
contempt ^nn++++=contempt
of ^in++++=of
life ^nn++++=life
when ^wrb+who+++=when
a ^at++++=a
service ^nn++++=service
could ^md+pos+++=could
be ^vb+be+aux++=be
done ^vpsv++agls+xvbnx+=done
to ^in++++=to
the ^ati++++=the
State ^nn++++=State.
. ^zz++++=EXTRAWORD
The ^ati++++=The
truth ^nn++++=truth
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
narrative ^nn++++=narrative
is ^vbz+bez+aux++=is
greatly ^rb+amp+splt++=greatly
doubted ^vpsv++agls+xvbnx+=doubted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
suspected ^vpsv++agls+xvbnx+=suspected
that ^tht+vcmp+++=that
the ^ati++++=the
Gallic ^np+++??+=Gallic
conquest ^nn++++=conquest
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
complete ^jj+pred+++=complete
than ^in++++=than
the ^ati++++=the
Romans ^nn++++=Romans
ever ^rb++++=ever
chose ^vbd+++xvbn+=chose
to ^in++++=to
avow ^nn+++??+=avow.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
history ^nn++++=history
is ^vbz+bez+aux++=is
far ^rb+pl+splt++=far
from ^rb"++++=from
clear ^vb++++=clear
up ^in+cmpx+++=up
to ^in"++++=to
this ^dt+dem+++=this
very ^ap+amp+++=very
epoch ^nn++++=epoch,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
all ^abn++++=all
their ^pp$+pp3+++=their
records ^nns++++=records
were ^vbd+bed+aux++=were
destroyed ^vpsv++agls+xvbnx+=destroyed;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
even ^rb++++=even
when ^wrb+who+++=when
place ^nn++++=place
and ^cc++++=and
period ^nn++++=period
are ^vb+ber+vrb++=are
misty ^jj+pred+++=misty,
, ^zz++++=EXTRAWORD
great ^jj+atrb+++=great
names ^nns++++=names
and ^cc++++=and
the ^ati++++=the
main ^jjb+atrb+++=main
outline ^nn++++=outline
of ^in++++=of
their ^pp$+pp3+++=their
actions ^nns+nom+++=actions
loom ^nn++++=loom
through ^in++++=through
the ^ati++++=the
cloud ^nn++++=cloud,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
exaggerated ^jj+++xvbn+=exaggerated,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
still ^rb++++=still
with ^in++++=with
some ^dti++++=some
reality ^nn+nom+++=reality;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
the ^ati++++=the
magnificent ^jj+atrb+++=magnificent
romance ^nn+nom+++=romance
of ^in++++=of
the ^ati++++=the
sack ^nn++++=sack
of ^in++++=of
Rome ^np++++=Rome
be ^vb+be+vrb++=be
not ^xnot++not++=not
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
certainly ^rb++++=certainly
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
well ^rb++++=well
worthy ^jj++++=worthy
of ^in++++=of
note ^nn++++=note
and ^cc++++=and
remembrance ^nn+nom+++=remembrance,
, ^zz++++=EXTRAWORD
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
finest ^jjt+atrb+++=finest
extant ^jj+atrb+++=extant
traditions ^nns+nom+++=traditions
of ^in++++=of
a ^at++++=a
whole ^jj+atrb+++=whole
chain ^nn++++=chain
of ^in++++=of
golden ^jj+atrb+++=Golden
deeds ^nns++++=Deeds.
. ^zz++++=EXTRAWORD
