B.c ^rb++++=B.C.
on ^in++++=on
Rob ^vb++++=Rob
Roy ^np++++=Roy's
's ^$++++=EXTRAWORD
grave ^jj++++=grave
almost ^rb+hdg+++=almost
literally ^rb++++=literally
translate ^nn+nom+++=translate
the ^ati++++=the
speech ^nn++++=speech
Plutarch ^np+++??+=Plutarch
gives ^vbz++++=gives
the ^ati++++=the
first ^od++++=first
Kelt ^np+++??+=Kelt
of ^in++++=of
history ^nn++++=history,
, ^zz++++=EXTRAWORD
Brennus ^np+++??+=Brennus.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
The ^ati++++=The
Fabii ^np+++??+=Fabii,
, ^zz++++=EXTRAWORD
on ^in++++=on
receiving ^xvbg+++xvbg+=receiving
this ^dt+dem+++=this
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
foolish ^jj++++=foolish
as ^in++++=as
to ^in"++++=to
transgress ^nns+nom+++=transgress
the ^ati++++=the
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
owned ^xvbn+++xvbn+=owned
by ^in++++=by
the ^ati++++=the
savage ^jj+atrb+++=savage
Gauls ^np+++??+=Gauls,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
an ^at++++=an
ambassador ^nn++++=ambassador
should ^md+nec+++=should
neither ^dt++neg++=neither
fight ^nn++++=fight
nor ^cc++neg++=nor
be ^vb+be+aux++=be
fought ^vpsv++agls+xvbnx+=fought
with ^in+strn+++=with;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
joined ^vbd+++xvbnx+=joined
the ^ati++++=the
Clusians ^np+++??+=Clusians,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Quintus ^np+++??+=Quintus,
, ^zz++++=EXTRAWORD
killed ^j+++xvbn+=killed
a ^at++++=a
remarkably ^rb++++=remarkably
large ^jj+atrb+++=large
and ^cc+phrs+++=and
tall ^jj+atrb+++=tall
