[ ^zz++++=[Ellis
clause ^nn++++=clause
of ^in++++=of
my ^pp$+pp1+++=my
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
can ^md+pos+++=can
draw ^vb++++=draw
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander,
, ^zz++++=EXTRAWORD
looking ^jj+++xvbg+=looking
me ^pp1o+pp1+++=me
full ^jj++++=full
in ^in++++=in
the ^ati++++=the
eye ^nn++++=eye
with ^in++++=with
both ^abx++++=both
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
like ^in++++=like
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
a ^at++++=a
salt ^jj+atrb+++=salt
mackerel ^nn++++=mackerel,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
pay ^vb++++=pay
you ^pp2+pp2+++=you
five ^cd++++=five
thousand ^cd++++=thousand
dollars ^nns++++=dollars."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
almost ^rb+hdg+++=almost
gasped ^vbd+++xvbn+=gasped.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
big ^jj+atrb+++=big
lot ^nn++++=lot
of ^in++++=of
money ^nn++++=money
for ^in++++=for
drawing ^xvbg+++xvbg+=drawing
one ^cd1++++=one
clause ^nn++++=clause
of ^in++++=of
a ^at++++=a
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began
to ^to++++=to
smell ^vbi++++=smell
a ^at++++=a
rat ^nn++++=rat
right ^jj++++=right
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
the ^ati++++=the
proposition ^nn+nom+++=proposition
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
made ^vbd+++xvbn+=made
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
able ^jj+pred+++=able,
, ^zz++++=EXTRAWORD
after ^in++++=after
quite ^rb++++=quite
a ^rb++++=a
little ^rb"++++=little
talk ^nn++++=talk
with ^in++++=with
my ^pp$+pp1+++=my
fellow ^jjb+atrb+++=fellow
trustees ^nns+nom+++=trustees
of ^in++++=of
the ^ati++++=the
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
to ^to++++=to
carry ^vbi++++=carry
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
wanted ^vbd+++xvbn+=wanted
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
put ^vbi++++=put
a ^at++++=a
radio ^nn++++=radio
loud ^jj++++=loud-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
outfit ^nn++++=outfit
in ^in++++=in
his ^pp$+pp3+++=his
granite ^nn++++=granite
tomb ^nn++++=tomb
a ^at++++=a
radio ^nn++++=radio
loud ^jj++++=loud-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
outfit ^nn++++=outfit
permanently ^rb++++=permanently
set ^vbd+++xvbn+=set
at ^rb++++=at
327 ^cd++++=327
meters ^nns++++=meters
wave ^nn++++=wave-length,
- ^zz++++=EXTRAWORD
length ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
wave ^nn++++=wave-length
- ^zz++++=EXTRAWORD
length ^rb++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
endowed ^vbd+++xvbn+=endowed
broadcasting ^nn++++=broadcasting
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
first ^od++++=first
got ^vprf+++xvbn+=got
his ^pp$+pp3+++=his
remarkable ^jj+atrb+++=remarkable
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
just ^rb+emph+++=just
about ^in++++=about
that ^dt+dem+++=that
time ^nn++++=time
an ^at++++=an
undertaker ^nn+nom+++=undertaker
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York
had ^vbd+hvd+aux++=had
rigged ^vprf+++xvbnx+=rigged
up ^rp++++=up
a ^at++++=a
hearse ^nn+++??+=hearse
with ^in++++=with
a ^at++++=a
phonograph ^nn+++??+=phonograph
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
hearse ^nn+++??+=hearse
would ^md+prd+++=would
loud ^jj++++=loud-speak
- ^zz++++=EXTRAWORD
speak ^vb++++=EXTRAWORD
suitable ^jj+atrb+++=suitable
hymns ^nns++++=hymns
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
may ^md+pos+++=may
have ^vb+hv+aux++=have
suggested ^vprf+++xvbnx+=suggested
the ^ati++++=the
loud ^jj++++=loud-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
tomb ^nn++++=tomb
to ^in++++=to
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
important ^jj++++=important
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
the ^ati++++=the
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
on ^in++++=on
having ^xvbg+++xvbg+=having
it ^pp3+it+++=it
carried ^vbd+++xvbn+=carried
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
" ^zz++++="Think,"
think ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="of
of ^in++++=EXTRAWORD
the ^ati++++=the
uplifting ^jj+atrb+++=uplifting
effect ^nn++++=effect
of ^in++++=of
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
highest ^jjt+atrb+++=highest
spot ^nn++++=spot
in ^in++++=in
the ^ati++++=the
cemetery ^nn+nom+++=cemetery
will ^md+prd+++=will
stand ^vb++++=stand
my ^pp$+pp1+++=my
noble ^jj+atrb+++=noble
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
loud ^jj++++=loud-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
in ^in++++=in
all ^abn++++=all
directions ^nns+nom+++=directions
the ^ati++++=the
solemn ^jj+atrb+++=solemn
and ^cc+phrs+++=and
holy ^jj+atrb+++=holy
words ^nns++++=words
and ^cc++++=and
music ^nn++++=music
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
collected ^vprf+++xvbnx+=collected
in ^in++++=in
my ^pp$+pp1+++=my
fourteen ^cd++++=fourteen
volumes ^nns++++=volumes.
. ^zz++++=EXTRAWORD
All ^abn++++=All
who ^whp+who+++=who
enter ^vb++++=enter
the ^ati++++=the
cemetery ^nn+nom+++=cemetery
will ^md+prd+++=will
hear ^vb+vprv+++=hear;
; ^zz++++=EXTRAWORD
all ^abn++++=all
will ^md+prd+++=will
be ^vb+be+aux++=be
ennobled ^vpsv++agls+xvbnx+=ennobled
and ^cc++++=and
uplifted ^jj++++=uplifted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
that ^tht+vcmp+++=that
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
so ^ql++++=so.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
went ^vbd+++xvbn+=went
on ^in++++=on
to ^to++++=to
explain ^vbi+vpub+++=explain
that ^tht+vcmp+++=that
the ^ati++++=the
income ^nn++++=income
from ^in++++=from
the ^ati++++=the
five ^cd++++=five
hundred ^cd++++=hundred
thousand ^cd++++=thousand
dollars ^nns++++=dollars
would ^md+prd+++=would
be ^vb+be+aux++=be
set ^vpsv++agls+xvbnx+=set
aside ^rb+phrv+++=aside
to ^to++++=to
keep ^vbi++++=keep
" ^zz++++="A"
a ^at++++=EXTRAWORD
" ^zz++++=EXTRAWORD
batteries ^nns+nom+++=batteries
and ^cc++++=and
" ^zz++++="B"
b ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
batteries ^nns+nom+++=batteries
supplied ^vbd+++xvbn+=supplied,
, ^zz++++=EXTRAWORD
to ^to++++=to
keep ^vbi++++=keep
the ^ati++++=the
outfit ^nn++++=outfit
in ^in++++=in
repair ^nn++++=repair,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
tackled ^vbd+++xvbnx+=tackled
the ^ati++++=the
job ^nn++++=job
rather ^rb++++=rather
enthusiastically ^rb++++=enthusiastically.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
five ^cd++++=five-thousand-dollar
- ^zz++++=EXTRAWORD
thousand ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
fee ^nn++++=fee
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
interest ^nn++++=interest
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
think ^vb+vprv+++=think
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
had ^vb+hv+vrb++=had
a ^at++++=a
grand ^jj+atrb+++=grand
idea ^nn++++=idea.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
make ^vb++++=make
our ^pp$+pp1+++=our
cemetery ^nn+nom+++=cemetery
stand ^nn++++=stand
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
People ^nns++++=People
would ^md+prd+++=would
come ^vb++++=come
from ^in+ppvb+++=from
everywhere ^rb++++=everywhere
to ^to++++=to
see ^vbi+vprv+++=see
and ^cc+phrs+++=and
listen ^vb++++=listen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lots ^nns++++=lots
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
addition ^nn+nom+++=addition
would ^md+prd+++=would
sell ^vb++++=sell
like ^in++++=like
hot ^jj+atrb+++=hot
cakes ^nns++++=cakes.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
have ^vb+hv+vrb++=have
a ^rb++++=a
little ^rb"++++=little
trouble ^nn++++=trouble
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
trustees ^nns+nom+++=trustees.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
balked ^vbd+++xvbnx+=balked
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
explained ^vbd+vpub++xvbnx+=explained
that ^tht+vcmp+++=that
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
wanted ^vbd+++xvbn+=wanted
the ^ati++++=the
sole ^jjb+atrb+++=sole
radio ^nn++++=radio
loud ^jj++++=loud-speaking
- ^zz++++=EXTRAWORD
speaking ^vbg+++xvbg+=EXTRAWORD
rights ^nns++++=rights
of ^in++++=of
our ^pp$+pp1+++=our
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
some ^dti++++=some
one ^cd1++++=one
finally ^rb++++=finally
suggested ^vprf+++xvbn+=suggested
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
put ^vbd+++xvbn+=put
up ^rb+phrv+++=up
a ^at++++=a
new ^jj+atrb+++=new
and ^cc+phrs+++=and
artistic ^jj+atrb+++=artistic
iron ^nn++++=iron
fence ^nn++++=fence
around ^in++++=around
the ^ati++++=the
whole ^jj+atrb+++=whole
cemetery ^nn+nom+++=cemetery
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be
all ^abn++++=all
right ^jj++++=right.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
made ^vbd+++xvbnx+=made
him ^pp3o+pp3+++=him
submit ^vb+vpub+++=submit
his ^pp$+pp3+++=his
fourteen ^cd++++=fourteen
volumes ^nns++++=volumes
so ^ql++++=so
they ^pp3a+pp3+++=they
could ^md+pos+++=could
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
sort ^nn++++=sort
of ^in++++=of
matter ^nn++++=matter
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
broadcast ^vbi++++=broadcast
from ^in++++=from
his ^pp$+pp3+++=his
high ^jj++++=high-class
- ^zz++++=EXTRAWORD
class ^nn++++=EXTRAWORD
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
agreed ^vbd+vpub+tht0+xvbnx+=agreed
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
solemn ^jj+pred+++=solemn
enough ^qlp++++=enough;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
all ^abn++++=all
solemn ^jj++++=solemn
and ^cc+phrs+++=and
sad ^jj++++=sad
and ^cc+phrs+++=and
gloomy ^jj++++=gloomy,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
the ^ati++++=the
stuff ^nn++++=stuff
for ^in++++=for
a ^at++++=a
cemetery ^nn+nom+++=cemetery.
. ^zz++++=EXTRAWORD
So ^ql++++=So
when ^wrb+who+++=when
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
agreed ^vbd+vpub++xvbn+=agreed
to ^to++++=to
build ^vbi++++=build
the ^ati++++=the
new ^jj+atrb+++=new
iron ^nn++++=iron
fence ^nn++++=fence
they ^pp3a+pp3+++=they
made ^vbd+++xvbnx+=made
a ^at++++=a
formal ^jj+atrb+++=formal
contract ^nn++++=contract
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
drew ^vbd+++xvbnx+=drew
up ^rb+phrv+++=up
the ^ati++++=the
clause ^nn++++=clause
for ^in++++=for
the ^ati++++=the
will ^md+prd+++=will,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
bought ^vbd+++xvbnx+=bought
six ^cd++++=six
lots ^nns++++=lots
on ^in++++=on
top ^nn++++=top
of ^in++++=of
the ^ati++++=the
high ^jj+atrb+++=high
knoll ^np++++=knoll
and ^cc++++=and
began ^vbd+++xvbn+=began
erecting ^nvbg+++xvbg+=erecting
his ^pp$+pp3+++=his
marble ^nn++++=marble
mausoleum ^nn++++=mausoleum.
. ^zz++++=EXTRAWORD
For ^in++++=For
eight ^cd++++=eight
months ^nns++++=months
or ^cc++++=or
so ^ql++++=so
Remington ^np+++??+=Remington
Solander ^np+nom++??+=Solander
was ^vbd+bedz+vrb++=was
busier ^jjr+pred+++=busier
than ^in++++=than
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
superintended ^vbd+++xvbnx+=superintended
the ^ati++++=the
building ^jj+++xvbg+=building
of ^in++++=of
the ^ati++++=the
tomb ^nn++++=tomb
and ^cc++++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
on ^in++++=on
hand ^nn++++=hand
the ^ati++++=the
job ^nn++++=job
of ^in++++=of
getting ^xvbg+++xvbg+=getting
his ^pp$+pp3+++=his
endowed ^vbd+++xvbn+=endowed
radio ^nn++++=radio
station ^nn+nom+++=station
going ^vwbg+++xvbg+=going
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
the ^ati++++=the
letters ^nns+nom+++=letters
Wzzz ^np+++??+=WZZZ
and ^cc++++=and
hiring ^jj+atrb++xvbg+=hiring
artists ^nns+nom+++=artists
to ^to++++=to
sing ^vbi++++=sing
and ^cc++++=and
play ^nn++++=play
and ^cc++++=and
speechify ^vb++++=speechify
his ^pp$+pp3+++=his
fourteen ^cd++++=fourteen
volumes ^nns++++=volumes
of ^in++++=of
gloom ^nn++++=gloom
and ^cc++++=and
uplift ^nn+++??+=uplift
at ^rb++++=at
327 ^cd++++=327
meters ^nns++++=meters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
too ^ql++++=too
much ^ap++++=much
for ^in++++=for
the ^ati++++=the
old ^jj++++=old
codger ^jjr++++=codger.
. ^zz++++=EXTRAWORD
The ^ati++++=The
very ^ap+amp+++=very
night ^nn++++=night
the ^ati++++=the
test ^nn++++=test
of ^in++++=of
the ^ati++++=the
Wzzz ^np+++??+=WZZZ
outfit ^nn++++=outfit
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
he ^pp3a+pp3+++=he
passed ^vbd+++xvbnx+=passed
away ^rp+pl+++=away
and ^cc++++=and
was ^vbd+bedz+vrb++=was
no ^at++++=no
more ^rbr++++=more
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
funeral ^nn++++=funeral
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
biggest ^jjt++++=biggest
we ^pp1a+pp1+++=we
ever ^rb++++=ever
had ^vb+hv+vrb++=had
in ^in++++=in
Westcote ^np+++??+=Westcote.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
judge ^vb++++=judge
that ^tht+rel+++=that
five ^cd++++=five
thousand ^cd++++=thousand
people ^nns++++=people
attended ^vbd+++xvbn+=attended
his ^pp$+pp3+++=his
remains ^nns++++=remains
to ^in++++=to
the ^ati++++=the
cemetery ^nn+nom+++=cemetery,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
widely ^rb++++=widely
known ^vprf+++xvbn+=known
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
Wzzz ^np+++??+=WZZZ
program ^nn+++??+=program
would ^md+prd+++=would
be ^vb+be+aux++=be
received ^vpsv++agls+xvbnx+=received
and ^cc++++=and
loud ^jj++++=loud-spoken
- ^zz++++=EXTRAWORD
spoken ^vprf+++xvbn+=EXTRAWORD
from ^in++++=from
Remington ^np+++??+=Remington
Solander ^np+nom+++=Solander's
's ^$++++=EXTRAWORD
tomb ^nn++++=tomb
that ^tht+rel+++=that
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
selection ^nn+nom+++=selection
on ^in++++=on
the ^ati++++=the
program ^nn+++??+=program
his ^pp$+pp3+++=his
favorite ^jj+atrb+++=favorite
hymn ^nn++++=hymn
beginning ^vwbg+++xvbg+=beginning
as ^ql++++=as
the ^ati++++=the
funeral ^nn++++=funeral
cortege ^vb+++??+=cortege
left ^vbd+++xvbn+=left
the ^ati++++=the
church ^nn++++=church
and ^cc++++=and
the ^ati++++=the
program ^nn+++??+=program
continuing ^vwbg+++xvbg+=continuing
until ^in++++=until
dark ^jj++++=dark.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
say ^vb+vpub+tht0++=say
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
affecting ^jj+atrb++xvbg+=affecting
occasions ^nns++++=occasions
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
ever ^rb++splt++=ever
witnessed ^vprf+++xvbnx+=witnessed.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
body ^nn++++=body
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
carried ^vbd+++xvbn+=carried
into ^in++++=into
the ^ati++++=the
tomb ^nn++++=tomb
the ^ati++++=the
loud ^jj+atrb+++=loud
speaker ^npt++++=speaker
gave ^vbd+++xvbn+=gave
us ^pp1o+pp1+++=us
a ^at++++=a
sermon ^nn++++=sermon
by ^in++++=by
Rev ^np++++=Rev.
. ^zz++++=EXTRAWORD
Peter ^np++++=Peter
L ^zz++++=L.
. ^zz++++=EXTRAWORD
Ruggus ^np+++??+=Ruggus,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
sob ^nn++++=sob
stuff ^nn++++=stuff,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
thousand ^cd++++=thousand
present ^vb++++=present
wept ^vprf+++xvbn+=wept.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
the ^ati++++=the
funeral ^nn++++=funeral
was ^vbd+bedz+aux++=was
really ^rb+emph+splt++=really
finished ^vpsv++agls+xvbnx+=finished,
, ^zz++++=EXTRAWORD
over ^in++++=over
two ^cd++++=two
thousand ^cd++++=thousand
remained ^vbd+++xvbn+=remained
to ^to++++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
program ^nn+++??+=program,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
hymns ^nns++++=hymns,
, ^zz++++=EXTRAWORD
missionary ^nn+nom+++=missionary
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
static ^jj++++=static
and ^cc++++=and
recitations ^nns+nom+++=recitations
of ^in++++=of
religious ^jj+atrb+++=religious
poems ^nns++++=poems.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
increased ^vbd+++xvbn+=increased
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
the ^ati++++=the
lots ^nns++++=lots
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
addition ^nn+nom+++=addition
one ^cd1++++=one
hundred ^cd++++=hundred
dollars ^nns++++=dollars
per ^in++++=per
lot ^nn++++=lot
immediately ^rb+cnj+++=immediately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
sold ^vbd+++xvbn+=sold
four ^cd++++=four
lots ^nns++++=lots
that ^tht+rel+obj++=that
afternoon ^nn++++=afternoon
and ^cc++++=and
two ^cd++++=two
the ^ati++++=the
next ^ap++++=next
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
big ^jj+atrb+++=big
metropolitan ^jj+atrb+++=metropolitan
newspapers ^nns+nom+++=newspapers
all ^rb++++=all
gave ^vbd+++xvbn+=gave
the ^ati++++=the
Westcote ^np+++??+=Westcote
Cemetery ^nn+nom+++=Cemetery
full ^jj+atrb+++=full
page ^nn++++=page
illustrated ^vbd+++xvbn+=illustrated
articles ^nns++++=articles
the ^ati++++=the
next ^ap++++=next
Sunday ^nr++++=Sunday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
received ^vbd+++xvbn+=received
during ^in++++=during
the ^ati++++=the
next ^ap++++=next
week ^nn++++=week
over ^in++++=over
three ^cd++++=three
hundred ^cd++++=hundred
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
mostly ^rb++++=mostly
from ^in++++=from
ministers ^nns+nom+++=ministers,
, ^zz++++=EXTRAWORD
praising ^jj+++xvbg+=praising
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Requests ^nns++++=Requests
for ^in++++=for
lots ^nns++++=lots
began ^vbd+++xvbn+=began
to ^to++++=to
come ^vbi++++=come
in ^in++++=in
by ^in++++=by
mail ^nn++++=mail.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
people ^vb++++=people
in ^in++++=in
Westcote ^np+++??+=Westcote
wrote ^vbd+vprv++xvbn+=wrote
for ^in++++=for
prices ^nns++++=prices,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
people ^nns++++=people
away ^rp+pl+++=away
over ^in++++=over
in ^in++++=in
New ^jj+atrb+++=New
Jersey ^np++++=Jersey
and ^cc++++=and
up ^rp++++=up
in ^in++++=in
Westchester ^np+nom++??+=Westchester
Country ^nn++++=Country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
from ^in++++=from
as ^in++++=as
far ^rb+pl+++=far
away ^rp+pl+++=away
as ^ql++++=as
Poughkeepsie ^np+++??+=Poughkeepsie
and ^cc++++=and
Delaware ^np+++??+=Delaware.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
twice ^rb++++=twice
as ^in++++=as
many ^ap++++=many
requests ^nns++++=requests
for ^in++++=for
lots ^nns++++=lots
as ^ql++++=as
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
lots ^nns++++=lots
to ^to++++=to
sell ^vbi++++=sell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
decided ^vbd+vprv+tht0+xvbn+=decided
we ^pp1a+pp1+++=we
