Grown ^vprf+++xvbn+=GROWN-UP
married ^jj+++xvbn+=married,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
felt ^vbd+vprv+tht0+xvbn+=felt
he ^pp3a+pp3+++=he
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi+vbi+aux++=have
known ^vprf+++xvbn+=known
that ^tht+vcmp+++=that
much ^ap++++=much;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
intimate ^jj++++=intimate
for ^in++++=for
some ^dti++++=some
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^ap+down+++=only
boredom ^nn+nom+++=boredom,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
satiety ^jj+++??+=satiety
and ^cc++++=and
world ^nn++++=world-weariness.
- ^zz++++=EXTRAWORD
weariness ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
assure ^vb++++=assure
me ^pp1o+pp1+++=me
you ^pp2+pp2+++=you
are ^vb+ber+aux++=aren't
n't ^xnot++not++0=EXTRAWORD
married ^xvbn+++xvbn+=married
you ^pp2+pp2+++=you
can ^md+pos+++=can
climb ^vb++++=climb
into ^in++++=into
this ^dt+dem+++=this
cart ^nn++++=cart
and ^cc++++=and
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
you ^pp2+pp2+++=you
for ^in++++=for
a ^at++++=a
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
bored ^vpsv++agls+xvbnx+=bored,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
do ^vbi++++=do
something ^pn++++=something
dark ^jj++++=dark
and ^cc+phrs+++=and
dreadful ^jj++++=dreadful
and ^cc+phrs+++=and
exciting ^jj++++=exciting."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
clambered ^vbd+++xvbn+=clambered
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
yapping ^jj+++xvbg+=yapping
with ^in++++=with
delight ^nn++++=delight
and ^cc++++=and
treading ^vbg+++xvbg+=treading
all ^abn++++=all
over ^in++++=over
his ^pp$+pp3+++=his
toes ^nns++++=toes;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
we ^pp1a+pp1+++=we
set ^vbd+++xvbn+=set
off ^rb+cnj+++=off,
, ^zz++++=EXTRAWORD
Harold ^np++++=Harold
demanded ^vbd+vsua++xvbn+=demanded
of ^in++++=of
him ^pp3o+pp3+++=him
imperiously ^rb++++=imperiously
whither ^jjr++++=whither
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
wife ^nn++++=wife,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="has
has ^vbz+hvz+aux++=EXTRAWORD
ordered ^vprf+++xvbnx+=ordered
me ^pp1o+pp1+++=me
to ^to++++=to
go ^vbi++++=go
and ^cc+phrs+++=and
look ^vb++++=look
up ^rp++++=up
the ^ati++++=the
curate ^nn++++=curate
and ^cc++++=and
bring ^vb++++=bring
him ^pp3o+pp3+++=him
home ^nr++++=home
to ^in++++=to
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
Does ^vbz+doz+vrb++=Does
that ^dt+dem+++=that
sound ^jj++++=sound
sufficiently ^rb++++=sufficiently
exciting ^jj++++=exciting
for ^in++++=for
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
faces ^nns++++=faces
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curate ^nn++++=curate
of ^in++++=of
the ^ati++++=the
hour ^nn++++=hour
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
success ^nns+nom+++=success,
, ^zz++++=EXTRAWORD
from ^in++++=from
our ^pp$+pp1+++=our
point ^nn++++=point
of ^in++++=of
view ^nn++++=view.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
funny ^jj+atrb+++=funny
man ^nn++++=man,
, ^zz++++=EXTRAWORD
in ^in++++=in
any ^dti++++=any
sense ^nn++++=sense
of ^in++++=of
the ^ati++++=the
word ^nn++++=word.
. ^zz++++=EXTRAWORD
" ^zz++++="
but ^cc++++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
going ^vbg+++xvbg+=going
to ^in+strn+++=to,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
cheerfully ^rb++++=cheerfully.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
to ^to++++=to
stop ^vbi++++=stop
at ^in++++=at
some ^dti++++=some
cottage ^nn+nom+++=cottage
and ^cc++++=and
ask ^vb++++=ask
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nettle ^nn++++=nettle-rash
- ^zz++++=EXTRAWORD
rash ^jj++++=EXTRAWORD
mixed ^jj+++xvbn+=mixed
up ^rp++++=up
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
'm ^vb+bem+vrb++0='m
sure ^jj+pred+++=sure.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
never ^rb++++=never
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
forgotten ^vprf+++xvbnx+=forgotten,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
does ^vbz+doz+vrb++=doesn't
n't ^xnot++not++0=EXTRAWORD
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
three ^cd++++=three
desperate ^jj+atrb+++=desperate
young ^jj+atrb+++=young
fellows ^nns++++=fellows
who ^whp+rel+subj++=who
stick ^vb++++=stick
at ^in+ppvb+++=at
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
we ^pp1a+pp1+++=we
go ^vb++++=go
off ^rp+pl+++=off
to ^in++++=to
the ^ati++++=the
circus ^nn++++=circus?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Of ^in++++=Of
certain ^jj+atrb+++=certain
supreme ^jj+atrb+++=supreme
moments ^nns+nom+++=moments
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
easy ^jj++++=easy
to ^to+jcmp+++=to
write ^vbi++++=write.
. ^zz++++=EXTRAWORD
The ^ati++++=The
varying ^jj+atrb++xvbg+=varying
shades ^nns++++=shades
and ^cc++++=and
currents ^nns++++=currents
of ^in++++=of
emotion ^nn+nom+++=emotion
may ^md+pos+++=may
indeed ^rb++++=indeed
be ^vb+be+aux++=be
put ^vpsv++agls+xvbnx+=put
into ^in++++=into
words ^nns++++=words
by ^in++++=by
those ^dt+dem+++=those
specially ^rb++++=specially
skilled ^jj++++=skilled
that ^cs+sub+++=that
way ^nn++++=way;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
often ^rb++++=often
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
at ^rb++++=at
considerable ^jj+atrb+++=considerable
length ^nn++++=length.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
sheer ^jjb+atrb+++=sheer,
, ^zz++++=EXTRAWORD
crude ^jj+atrb+++=crude
article ^nn++++=article
itself ^ppl++++=itself
the ^ati++++=the
strong ^jj++++=strong,
, ^zz++++=EXTRAWORD
live ^vb++++=live
thing ^nn++++=thing
that ^tht+rel+subj++=that
leaps ^vbz++++=leaps
up ^rp++++=up
inside ^jjb++++=inside
you ^pp2+pp2+++=you
and ^cc++++=and
swells ^nns++++=swells
and ^cc++++=and
strangles ^nns+++??+=strangles
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dizziness ^nns+nom+++=dizziness
of ^in++++=of
revulsion ^nn++++=revulsion
that ^tht+rel+subj++=that
takes ^vbz++++=takes
the ^ati++++=the
breath ^nn++++=breath
like ^in++++=like
cold ^jj+atrb+++=cold
water ^nn++++=water
who ^whp+rel+subj++=who
shall ^md+prd+++=shall
depict ^vb++++=depict
this ^dt+pdem+++=this
and ^cc++++=and
live ^vb++++=live?
? ^zz++++=EXTRAWORD
All ^abn++++=All
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
would ^md+prd+++=would
have ^vb+hv+aux++=have
died ^vprf+++xvbnx+=died
then ^rn+tm+++=then
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
cheerfully ^rb+cnj+++=cheerfully,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
funny ^jj+atrb+++=funny
man ^nn++++=man;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
longed ^vbd+++xvbnx+=longed
for ^in++++=for
red ^jj+atrb+++=red
Indians ^nn++++=Indians
to ^in++++=to
spring ^nn++++=spring
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
hedge ^nn++++=hedge
on ^in++++=on
the ^ati++++=the
dog ^nn++++=dog-cart,
- ^zz++++=EXTRAWORD
cart ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
to ^to++++=to
show ^vbi+vprv+++=show
what ^wdt+who+whcl++=what
I ^pp1a+pp1+++=I
would ^md+prd+++=would
do ^vb+do+vrb++=do;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
find ^vb+vprv+++=find
the ^ati++++=the
least ^rbt++++=least
little ^jj+atrb+++=little
word ^nn++++=word
to ^to++++=to
say ^vbi+vpub+++=say
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Harold ^np++++=Harold
was ^vbd+bedz+aux++=was
less ^rbr++splt++=less
taciturn ^vpsv++agls+xvbnx+=taciturn.
. ^zz++++=EXTRAWORD
With ^in++++=With
shrill ^jj+atrb+++=shrill
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
uplifted ^jj++++=uplifted
in ^in++++=in
solemn ^jj+atrb+++=solemn
chant ^nn++++=chant,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
the ^ati++++=the
great ^jj+atrb+++=great
spheral ^jj+atrb+++=spheral
circus ^npl++++=circus-song,
- ^zz++++=EXTRAWORD
song ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
undying ^jj+atrb++xvbg+=undying
glory ^nn++++=glory
of ^in++++=of
the ^ati++++=the
Ring ^nn++++=Ring.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
its ^pp$+it+++=its
timeless ^jj++++=timeless
beginning ^jj+++xvbg+=beginning
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang,
, ^zz++++=EXTRAWORD
of ^in++++=of
its ^pp$+it+++=its
fashioning ^vbg+++xvbg+=fashioning
by ^in++++=by
cosmic ^jj+atrb+++=cosmic
forces ^nns++++=forces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
its ^pp$+it+++=its
harmony ^nn++++=harmony
with ^in++++=with
the ^ati++++=the
stellar ^jj+atrb+++=stellar
plan ^nn++++=plan.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
horses ^nns++++=horses
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang,
, ^zz++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
strength ^nn++++=strength,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
swiftness ^nns+nom+++=swiftness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
docility ^nn+nom+++=docility
as ^in++++=as
to ^in++++=to
tricks ^nns++++=tricks.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
clowns ^nns++++=clowns
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
glory ^nn++++=glory
of ^in++++=of
knavery ^nn+nom+++=knavery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
eternal ^jj+atrb+++=eternal
type ^nn++++=type
that ^tht+rel+subj++=that
shall ^md+prd+++=shall
endure ^vb++++=endure.
. ^zz++++=EXTRAWORD
Lastly ^nn++++=Lastly
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
of ^in++++=of
Her ^pp3o+pp3+++=Her
the ^ati++++=the
Woman ^nn++++=Woman
of ^in++++=of
the ^ati++++=the
Ring ^nn++++=Ring
flawless ^jj++++=flawless,
, ^zz++++=EXTRAWORD
complete ^jj++++=complete,
, ^zz++++=EXTRAWORD
untrammelled ^jj++++=untrammelled
in ^in++++=in
each ^dt++++=each
subtly ^rb++++=subtly
curving ^jj+atrb+++=curving
limb ^nn++++=limb;
; ^zz++++=EXTRAWORD
earth ^nn++++=earth's
's ^vbz+bez+vrb++0=EXTRAWORD
highest ^jjt+atrb+++=highest
output ^nn++++=output,
, ^zz++++=EXTRAWORD
time ^nn++++=time's
's ^vbz+bez+vrb++0=EXTRAWORD
noblest ^jjt+atrb+++=noblest
expression ^nn++++=expression.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
doubtless ^rb++++=doubtless
sang ^nc+++xvbn+=sang
all ^abn++++=all
these ^dt+dem+++=these
things ^nns++++=things
and ^cc++++=and
more ^ql++++=more
he ^pp3a+pp3+++=he
certainly ^rb++++=certainly
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
distinguishable ^jj+pred+++=distinguishable
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
" ^zz++++="We're-goin'-to-the-circus!"
we ^pp1a+pp1+++=EXTRAWORD
're-goin'-to-the-circus!" ^nn++be+??+0=EXTRAWORD
and ^cc++++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
" ^zz++++="We're-goin'-to-the-circus!"
we ^pp1a+pp1+++=EXTRAWORD
're-goin'-to-the-circus!" ^nn++be+??+0=EXTRAWORD
the ^ati++++=the
sweet ^jj+atrb+++=sweet
rhythmic ^jj+atrb+++=rhythmic
phrase ^nn++++=phrase
repeated ^vbd+++xvbn+=repeated
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
indeed ^rb++++=indeed
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
quite ^rb++++=quite
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
confusedly ^rb+cnj+++=confusedly,
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
a ^at++++=a
dream ^nn++++=dream.
. ^zz++++=EXTRAWORD
Wings ^nns++++=Wings
of ^in++++=of
fire ^nn++++=fire
sprang ^vbd+++xvbn+=sprang
from ^in++++=from
the ^ati++++=the
old ^jj+atrb+++=old
mare ^nn++++=mare's
's ^$++++=EXTRAWORD
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
whirled ^vbd+++xvbn+=whirled
on ^in++++=on
our ^pp$+pp1+++=our
way ^nn++++=way
through ^in++++=through
purple ^jj+atrb+++=purple
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
earth ^nn++++=earth
and ^cc++++=and
the ^ati++++=the
rattle ^nn++++=rattle
of ^in++++=of
wheels ^nns++++=wheels
were ^vbd+bed+vrb++=were
far ^rb+pl+++=far
away ^rp+pl+++=away
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dream ^nn++++=dream
and ^cc++++=and
the ^ati++++=the
dizziness ^nns+nom+++=dizziness
were ^vbd+bed+vrb++=were
still ^rb++++=still
in ^in++++=in
my ^pp$+pp1+++=my
head ^nn++++=head
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
scarce ^jj++++=scarce
conscious ^jj++++=conscious
of ^in++++=of
intermediate ^jj+atrb+++=intermediate
steps ^nns++++=steps,
, ^zz++++=EXTRAWORD
seated ^j+++xvbn+=seated
actually ^rb+amp+++=actually
in ^in++++=in
the ^ati++++=the
circus ^nn++++=circus
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vpsv++agls+xvbn+=took
in ^rb+phrv+++=in
the ^ati++++=the
first ^od++++=first
sniff ^vb+++??+=sniff
of ^in++++=of
that ^dt+dem+++=that
intoxicating ^jj+atrb+++=intoxicating
circus ^nn++++=circus
smell ^nn++++=smell
that ^tht+rel+subj++=that
will ^md+prd+++=will
stay ^vb++++=stay
by ^in++++=by
me ^pp1o+pp1+++=me
while ^cs+sub+++=while
this ^dt+dem+++=this
clay ^nn++++=clay
endures ^nns+++??+=endures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
place ^nn++++=place
was ^vbd+bedz+aux++=was
beset ^vpsv++by+xvbnx+=beset
by ^in++++=by
a ^at++++=a
hum ^nn+++??+=hum
and ^cc++++=and
a ^at++++=a
glitter ^nn++++=glitter
and ^cc++++=and
a ^at++++=a
mist ^nn++++=mist;
; ^zz++++=EXTRAWORD
suspense ^nn++++=suspense
brooded ^vbd+++xvbn+=brooded
large ^jj+atrb+++=large
o ^zz++++=o'er
'er ^jjr++++0=EXTRAWORD
the ^ati++++=the
blank ^jj+atrb+++=blank,
, ^zz++++=EXTRAWORD
mysterious ^jj+atrb+++=mysterious
arena ^nn++++=arena.
. ^zz++++=EXTRAWORD
Strung ^xvbn+++xvbn+=Strung
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
highest ^jjt+atrb+++=highest
pitch ^nn++++=pitch
of ^in++++=of
expectation ^nn+nom+++=expectation,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
knew ^vbd+vprv++xvbn+=knew
not ^xnot++not++=not
from ^in++++=from
what ^wdt+who+++=what
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
in ^in++++=in
what ^wdt+who+++=what
divine ^jj+atrb+++=divine
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
surprise ^vb++++=surprise
would ^md+prd+++=would
come ^vb++++=come.
. ^zz++++=EXTRAWORD
A ^at++++=A
thud ^nn++++=thud
of ^in++++=of
unseen ^jj+atrb+++=unseen
hoofs ^nns++++=hoofs
first ^od++++=first
set ^nn+++xvbn+=set
us ^pp1o+pp1+++=us
a ^at++++=a-quiver;
- ^zz++++=EXTRAWORD
quiver ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
crash ^nn++++=crash
of ^in++++=of
cymbals ^nns+nom+++=cymbals,
, ^zz++++=EXTRAWORD
a ^at++++=a
jangle ^nn+++??+=jangle
of ^in++++=of
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
a ^at++++=a
hoarse ^nn++++=hoarse
applauding ^vwbg+++xvbg+=applauding
roar ^nn++++=roar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Coralie ^np+++??+=Coralie
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
whirling ^vbg+nom++xvbg+=whirling
past ^jjb++++=past
it ^pp3+it+++0='twixt
wixt ^jj+atrb++??+=EXTRAWORD
earth ^nn++++=earth
and ^cc++++=and
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
erect ^vb++++=erect,
, ^zz++++=EXTRAWORD
flushed ^j+++xvbn+=flushed,
, ^zz++++=EXTRAWORD
radiant ^jj++++=radiant,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
crouched ^vbd+++xvbn+=crouched
to ^in++++=to
the ^ati++++=the
flowing ^jj+atrb++xvbg+=flowing
mane ^nn++++=mane;
; ^zz++++=EXTRAWORD
swung ^j+++xvbn+=swung
and ^cc+phrs+++=and
tossed ^jj+++xvbn+=tossed
and ^cc+phrs+++=and
moulded ^jj+++xvbn+=moulded
by ^in++++=by
the ^ati++++=the
maddening ^jj+atrb+++=maddening
dance ^nn++++=dance-music
- ^zz++++=EXTRAWORD
music ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
band ^nn++++=band.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mighty ^ql++++=mighty
whip ^vb++++=whip
of ^in++++=of
the ^ati++++=the
count ^nn++++=count
in ^in++++=in
the ^ati++++=the
frock ^nn++++=frock-coat
- ^zz++++=EXTRAWORD
coat ^nn++++=EXTRAWORD
marked ^vbd+++xvbn+=marked
time ^nn++++=time
with ^in++++=with
pistol ^nn++++=pistol-shots;
- ^zz++++=EXTRAWORD
shots ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
war ^nn++++=war-cry,
- ^zz++++=EXTRAWORD
cry ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whooping ^jj+++xvbg+=whooping
clear ^jj++++=clear
above ^jjb++++=above
the ^ati++++=the
music ^nn++++=music,
, ^zz++++=EXTRAWORD
fired ^j+++xvbn+=fired
the ^ati++++=the
blood ^nn++++=blood
with ^in++++=with
a ^at++++=a
passion ^nn++++=passion
for ^in++++=for
splendid ^jj+atrb+++=splendid
deeds ^nns++++=deeds,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Coralie ^np+++??+=Coralie,
, ^zz++++=EXTRAWORD
laughing ^vbg+++xvbg+=laughing,
, ^zz++++=EXTRAWORD
exultant ^jj++++=exultant,
, ^zz++++=EXTRAWORD
crashed ^j+++xvbn+=crashed
through ^in++++=through
the ^ati++++=the
paper ^nn++++=paper
hoops ^nns++++=hoops.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
gripped ^vbd+++xvbn+=gripped
the ^ati++++=the
red ^jj+atrb+++=red
cloth ^nn++++=cloth
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
our ^pp$+pp1+++=our
souls ^nns++++=souls
sped ^vbd+++xvbn+=sped
round ^rb++++=round
and ^cc++++=and
round ^nn++++=round
with ^in++++=with
Coralie ^np+++??+=Coralie,
, ^zz++++=EXTRAWORD
leaping ^vbg+++xvbg+=leaping
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
prone ^jj++++=prone
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
swung ^xvbn+++xvbn+=swung
by ^in++++=by
mane ^nn++++=mane
or ^cc++++=or
tail ^nn++++=tail
with ^in++++=with
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
ravishment ^nn+nom+++=ravishment
of ^in++++=of
her ^pp$+pp3+++=her
delirious ^jj+atrb+++=delirious
feats ^nns++++=feats,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
her ^pp$+pp3+++=her
cream ^nn++++=cream-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
horse ^nn++++=horse
of ^in++++=of
fairy ^nn++++=fairy
breed ^nn++++=breed,
, ^zz++++=EXTRAWORD
long ^jj++++=long-tailed,
- ^zz++++=EXTRAWORD
tailed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
roe ^nn++++=roe-footed,
- ^zz++++=EXTRAWORD
footed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
enchanted ^jj+++xvbn+=enchanted
prince ^np++++=prince
surely ^rb+cnj+++=surely,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
ever ^rb++++=ever
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^pn++++=one!
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
more ^rbr++++=more
than ^in++++=than
mortal ^nn++++=mortal
beauty ^nn++++=beauty
displayed ^vbd+++xvbn+=displayed,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
under ^in++++=under
conditions ^nns+nom+++=conditions
never ^rb++++=never
vouch ^nn+++??+=vouch-safed
- ^zz++++=EXTRAWORD
safed ^jj+++xvbn+=EXTRAWORD
to ^in++++=to
us ^pp1o+pp1+++=us
before ^cs+sub+++=before
that ^dt+pdem+++=that
held ^vbd+vprv++xvbn+=held
us ^pp1o+pp1+++=us
spell ^nn++++=spell-bound.
- ^zz++++=EXTRAWORD
bound ^vbd+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
princess ^nns+nom+++=princess
had ^vb+hv+vrb++=had
arms ^nns++++=arms
so ^ql+emph+++=so
dazzlingly ^jj++++=dazzlingly
white ^jj++++=white,
, ^zz++++=EXTRAWORD
