A ^at++++=A
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
being ^xvbg+++xvbg+=being
at ^rb++++=at
home ^nr++++=home
in ^in++++=in
barracks ^nns++++=barracks!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
great ^jj+atrb+++=great
harm ^nn++++=harm
in ^in++++=in
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
men ^nns++++=men
dropping ^vwbg+++xvbg+=dropping
out ^rp+pl+++=out
to ^to++++=to
raid ^vbi++++=raid
an ^at++++=an
orchard ^nn++++=orchard
of ^in++++=of
the ^ati++++=the
enemy ^nn++++=enemy
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
world ^nn++++=world
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
'd ^md+prd+vrb++=had
a ^at++++=a
decent ^jj+atrb+++=decent
meal ^nn++++=meal
in ^in++++=in
twenty ^cd++++=twenty
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
reddened ^jj+atrb++xvbn+=reddened
face ^nn++++=face
of ^in++++=of
Sergeant ^nn+nom+++=Sergeant
Morton ^np++++=Morton
suddenly ^rb++++=suddenly
showed ^vbd+vprv++xvbn+=showed
to ^to+vcmp+++=to
the ^ati++++=the
rear ^nn++++=rear.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^rb++++=EXTRAWORD
little ^rb"++++=little
more ^ql++++=more
marching ^jj+++xvbg+=marching
and ^cc++++=and
less ^ql++++=less
talking ^nvbg+++xvbg+=talking,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
he ^pp3a+pp3+++=he
