prompt,source,filename,f1,f2,f3,f4
human,human,4000_story_0564.txt,12.509099709,2.0488080087,-1.511154763,0.2116861209
llm_free,ai,4000_story_0564_llm_free.txt,-10.81603927,-3.745286252,6.0061168665,-1.448987895
human,human,4000_story_0565.txt,17.757269777,16.386696205,3.4262781144,0.96885304
llm_free,ai,4000_story_0565_llm_free.txt,-11.40704059,-9.454651059,3.5033186521,-1.503398147
human,human,4000_story_0571.txt,9.2057235026,-10.82575049,-8.463588391,3.2595836961
llm_free,ai,4000_story_0571_llm_free.txt,-11.2608848,-13.75125821,1.9209899599,1.6434657376
human,human,4000_story_0575.txt,6.0172211882,-8.979533813,-11.57520864,-2.513500007
llm_free,ai,4000_story_0575_llm_free.txt,-17.84758174,-6.867698764,3.6893047656,-0.945312624
human,human,4000_story_0579.txt,20.128805329,-3.489257155,-1.743651146,-1.511258188
llm_free,ai,4000_story_0579_llm_free.txt,-4.524589273,-12.53126733,9.7096534295,0.619845977
human,human,4000_story_0582.txt,18.847298702,-3.526430811,-4.701065628,-0.362870944
llm_free,ai,4000_story_0582_llm_free.txt,-18.63239962,-11.9880687,5.2944751811,-0.110682567
human,human,4000_story_0585.txt,16.652651839,-0.321325948,-1.460829747,0.7741862978
llm_free,ai,4000_story_0585_llm_free.txt,-8.978304027,-3.691142085,6.8663990107,4.3406129033
human,human,4000_story_0586.txt,4.9460619589,-3.392589906,-13.03419332,-1.167076571
llm_free,ai,4000_story_0586_llm_free.txt,-15.77240266,-5.183160217,0.6831066374,-1.826443921
human,human,4000_story_0587.txt,-1.267715695,1.9712140096,-14.2841246,-0.090512856
llm_free,ai,4000_story_0587_llm_free.txt,-12.35237632,-10.57062036,3.396221792,-0.211260332
human,human,4000_story_0588.txt,11.040417584,-4.801419331,-1.294875913,6.706518175
llm_free,ai,4000_story_0588_llm_free.txt,-15.36778991,-17.41476904,-0.781648068,-1.036474478
human,human,4000_story_0589.txt,2.8452129348,-10.84705732,-7.609606156,0.6106149807
llm_free,ai,4000_story_0589_llm_free.txt,-14.44113706,-11.85968532,8.3985734977,1.0690737561
human,human,4000_story_0592.txt,20.385318103,13.46031004,6.1145471938,0.4632541665
llm_free,ai,4000_story_0592_llm_free.txt,-14.83608401,-12.21000615,2.5121012261,0.1032823483
human,human,4000_story_0594.txt,14.162347615,16.826988178,-2.459391075,1.3844957958
llm_free,ai,4000_story_0594_llm_free.txt,-16.8558037,-11.4543496,4.5574733506,1.0882098873
human,human,4000_story_0596.txt,14.29408792,10.970649538,-0.296073742,-0.554775354
llm_free,ai,4000_story_0596_llm_free.txt,-12.16533624,-11.55933791,2.4591299134,1.7102315599
human,human,4000_story_0597.txt,26.940503306,5.7988542649,-0.412828624,4.2944018622
llm_free,ai,4000_story_0597_llm_free.txt,-1.507241306,-10.69477939,5.1094554906,0.1917969006
